,Weight class,Round,f1_Height_cm,f1_Wins,f1_Losses,f1_Reach,f1_DOB,f1_SLpM,f1_Str. Acc.,f1_SApM,f1_Str. Def,f1_TD Avg.,f1_TD Acc.,f1_TD Def.,f1_Sub. Avg.,f2_Height_cm,f2_Wins,f2_Losses,f2_Reach,f2_DOB,f2_SLpM,f2_Str. Acc.,f2_SApM,f2_Str. Def,f2_TD Avg.,f2_TD Acc.,f2_TD Def.,f2_Sub. Avg.,Method_DEC,Method_KO/TKO,Method_SUB,f1_STANCE_Orthodox,f1_STANCE_Southpaw,f1_STANCE_Switch,f1_STANCE_unk,f2_STANCE_Orthodox,f2_STANCE_Southpaw,f2_STANCE_Switch,f2_STANCE_unk,winner
0,11.0,5.0,200.66,33.0,8.0,80.0,1988.0,4.88,59.0,2.48,56.0,0.66,70.0,66.0,0.2,193.04,8.0,0.0,81.0,1990.0,5.04,55.0,1.85,69.0,1.13,26.0,100.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,11.0,2.0,190.5,25.0,15.0,80.0,1983.0,2.68,46.0,3.03,45.0,1.19,40.0,66.0,0.6,187.96,19.0,8.0,75.0,1991.0,4.21,52.0,2.26,63.0,0.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,5.0,3.0,170.18,16.0,1.0,67.0,1987.0,5.59,52.0,4.17,67.0,2.23,56.0,85.0,0.7,167.64,17.0,2.0,67.0,1990.0,5.5,71.0,1.55,56.0,2.73,66.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,8.0,3.0,187.96,31.0,12.0,75.0,1984.0,5.16,48.0,3.58,61.0,0.92,41.0,64.0,0.2,154.94,19.0,3.0,74.0,1984.0,3.2,37.0,3.57,55.0,1.45,33.0,63.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4,7.0,2.0,154.94,14.0,4.0,72.0,1989.0,5.4,46.0,3.74,65.0,1.28,53.0,78.0,0.6,185.42,10.0,2.0,77.0,1988.0,1.83,30.0,2.61,48.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,8.0,2.0,167.64,26.0,3.0,67.0,1981.0,2.44,47.0,2.49,58.0,4.11,36.0,50.0,0.6,185.42,13.0,0.0,77.0,1994.0,2.79,52.0,1.93,50.0,0.0,0.0,100.0,3.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,10.0,2.0,190.5,14.0,5.0,74.0,1988.0,5.4,47.0,3.71,58.0,0.0,0.0,0.0,0.0,185.42,18.0,11.0,73.0,1984.0,3.62,40.0,6.93,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7,2.0,3.0,170.18,8.0,2.0,68.0,1988.0,3.1,41.0,2.9,54.0,0.49,50.0,60.0,0.0,170.18,9.0,5.0,66.0,1993.0,2.1,34.0,3.87,50.0,0.0,0.0,66.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8,6.0,3.0,175.26,13.0,5.0,69.0,1986.0,3.11,37.0,3.78,48.0,1.76,32.0,40.0,1.0,170.18,16.0,7.0,68.0,1989.0,3.58,42.0,6.49,58.0,0.0,0.0,33.0,0.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
9,7.0,3.0,154.94,15.0,7.0,75.0,1987.0,4.05,35.0,5.38,46.0,0.12,25.0,76.0,0.5,175.26,13.0,6.0,70.0,1986.0,2.99,46.0,2.99,66.0,0.68,60.0,39.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,6.0,5.0,170.18,15.0,4.0,71.0,1991.0,3.82,46.0,3.41,56.0,1.38,25.0,55.0,0.4,170.18,17.0,6.0,72.0,1987.0,4.07,43.0,3.87,55.0,0.82,47.0,77.0,0.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,5.0,3.0,172.72,13.0,5.0,69.0,1985.0,4.21,47.0,3.25,56.0,2.07,46.0,60.0,0.2,172.72,17.0,7.0,70.0,1992.0,3.91,50.0,4.08,51.0,0.88,42.0,69.0,1.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,6.0,1.0,185.42,25.0,10.0,74.0,1989.0,5.1,47.0,5.78,50.0,1.29,54.0,58.0,0.9,182.88,10.0,3.0,74.0,1992.0,3.31,41.0,2.55,46.0,1.0,57.0,66.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,9.0,1.0,162.56,12.0,5.0,65.0,1990.0,2.98,46.0,3.23,58.0,2.89,31.0,64.0,0.0,182.88,16.0,5.0,72.0,1996.0,2.44,42.0,3.75,43.0,2.31,22.0,100.0,0.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14,8.0,2.0,187.96,17.0,9.0,75.0,1989.0,3.12,39.0,3.88,58.0,1.26,34.0,73.0,0.6,182.88,25.0,18.0,75.0,1981.0,3.68,54.0,2.68,55.0,1.52,44.0,64.0,1.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,10.0,3.0,182.88,10.0,1.0,78.0,1994.0,2.73,37.0,5.73,26.0,0.5,20.0,57.0,0.0,185.42,6.0,2.0,74.0,1995.0,4.78,59.0,3.15,60.0,0.59,25.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16,0.0,2.0,160.02,17.0,2.0,64.0,1988.0,2.65,46.0,2.92,53.0,2.5,53.0,75.0,1.9,154.94,12.0,2.0,62.0,1993.0,2.08,59.0,2.6,53.0,2.4,40.0,0.0,1.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,11.0,3.0,193.04,14.0,4.0,79.0,1989.0,6.53,50.0,6.13,43.0,0.43,14.0,66.0,0.4,154.94,15.0,8.0,72.0,1986.0,3.28,53.0,4.9,56.0,0.38,50.0,53.0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18,7.0,1.0,172.72,11.0,4.0,69.0,1989.0,3.9,37.0,4.55,56.0,0.23,50.0,64.0,0.7,182.88,22.0,6.0,70.0,1989.0,4.39,42.0,4.27,53.0,0.66,13.0,66.0,0.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,1.0,3.0,167.64,7.0,0.0,69.0,1997.0,5.56,60.0,2.64,38.0,3.47,62.0,60.0,2.1,162.56,7.0,2.0,67.0,1995.0,5.64,58.0,6.5,47.0,3.15,47.0,50.0,0.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,9.0,5.0,193.04,21.0,1.0,80.0,1989.0,3.94,50.0,2.59,62.0,0.0,0.0,80.0,0.2,182.88,17.0,5.0,74.0,1993.0,3.88,43.0,3.04,63.0,2.24,47.0,78.0,0.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
21,4.0,3.0,165.1,20.0,2.0,68.0,1987.0,3.24,56.0,3.4,49.0,1.54,52.0,58.0,2.1,170.18,19.0,5.0,70.0,1993.0,3.44,39.0,3.29,58.0,2.05,47.0,65.0,0.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,8.0,5.0,182.88,21.0,13.0,76.0,1985.0,4.51,45.0,3.73,52.0,1.1,30.0,41.0,1.3,187.96,19.0,3.0,74.0,1991.0,2.62,49.0,2.15,55.0,1.48,35.0,70.0,0.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,8.0,3.0,185.42,28.0,11.0,72.0,1977.0,1.8,43.0,2.07,63.0,2.49,24.0,61.0,1.0,154.94,19.0,3.0,72.0,1988.0,4.61,42.0,3.8,60.0,1.8,28.0,91.0,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,10.0,1.0,190.5,15.0,4.0,76.0,1987.0,2.59,51.0,2.39,50.0,2.06,25.0,55.0,1.9,193.04,8.0,1.0,79.0,1991.0,7.5,52.0,3.6,45.0,0.0,0.0,57.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,7.0,3.0,172.72,23.0,11.0,70.0,1988.0,4.38,40.0,4.08,52.0,0.82,18.0,55.0,0.1,170.18,10.0,1.0,71.0,1991.0,4.75,53.0,3.18,54.0,2.0,42.0,62.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,10.0,3.0,182.88,12.0,7.0,74.0,1990.0,2.98,45.0,3.07,49.0,1.56,41.0,67.0,0.1,185.42,14.0,5.0,75.0,1987.0,3.2,47.0,3.96,51.0,1.47,32.0,76.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,1.0,3.0,167.64,15.0,6.0,65.0,1985.0,6.75,50.0,4.5,52.0,1.62,55.0,63.0,0.4,165.1,15.0,4.0,67.0,1983.0,3.95,40.0,4.25,61.0,1.16,34.0,70.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
