,W/L,Fighter1,Fighter2,F1_Kd,F2_Kd,F1_Str,F2_Str,F1_Td,F2_Td,F1_Sub,F2_Sub,Weight class,Method,Round,Time
0,win,Ciryl Gane,Alexander Volkov,0,0,135,115,0,0,0,0,Heavyweight,U-DEC,5,5:00
1,win,Tanner Boser,Ovince Saint Preux,1,0,33,9,0,1,0,0,Heavyweight,KO/TKO,2,2:31
2,win,Timur Valiev,Raoni Barcelos,0,2,77,69,0,0,0,0,Bantamweight,M-DEC,3,5:00
3,nc,Andre Fili,Daniel Pineda,0,0,34,15,1,0,0,0,Featherweight,CNC,2,0:46
4,win,Tim Means,Nicolas Dalby,0,0,53,54,1,0,0,0,Welterweight,U-DEC,3,5:00
5,win,Renato Moicano,Jai Herbert,0,0,26,7,5,0,1,0,Lightweight,SUB,2,4:34
6,win,Kennedy Nzechukwu,Danilo Marques,0,0,31,10,0,2,0,0,Light Heavyweight,KO/TKO,3,0:20
7,win,Shavkat Rakhmonov,Michel Prazeres,0,0,21,6,1,0,1,0,Welterweight,SUB,2,2:10
8,win,Jeremiah Wells,Warlley Alves,1,0,21,15,0,0,0,1,Welterweight,KO/TKO,2,0:30
9,win,Marcin Prachnio,Ike Villanueva,1,0,59,34,0,1,0,0,Light Heavyweight,KO/TKO,2,0:56
10,win,Julia Avila,Julija Stoliarenko,0,0,48,40,1,1,1,0,Women's Bantamweight,SUB,3,4:19
11,win,Charles Rosa,Justin Jaynes,0,0,51,44,2,2,2,2,Featherweight,S-DEC,3,5:00
12,win,Damir Hadzovic,Yancy Medeiros,0,0,121,103,2,2,0,2,Lightweight,U-DEC,3,5:00
13,win,Chan Sung Jung,Dan Ige,0,0,92,80,3,0,3,0,Featherweight,U-DEC,5,5:00
14,win,Serghei Spivac,Aleksei Oleinik,0,0,71,59,0,1,0,1,Heavyweight,U-DEC,3,5:00
15,win,Marlon Vera,Davey Grant,0,0,105,83,2,1,3,0,Bantamweight,U-DEC,3,5:00
16,win,SeungWoo Choi,Julian Erosa,1,0,13,10,0,0,0,0,Featherweight,KO/TKO,1,1:37
17,win,Bruno Silva,Wellington Turman,0,0,19,1,0,0,0,0,Middleweight,KO/TKO,1,4:45
18,win,Matt Brown,Dhiego Lima,1,0,27,23,0,0,0,0,Welterweight,KO/TKO,2,3:02
19,win,Nicolae Negumereanu,Aleksa Camur,0,0,71,102,1,0,0,0,Light Heavyweight,S-DEC,3,5:00
