Fighter_iD,Name,Record,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
0,Nick Agallar, 24-6-0,"5' 8""",155,--,Orthodox,"Jan 13, 1979",0.69,11,4.56,42,0,0,0,0
1,Jim Alers, 13-3-0 (1 NC),"5' 9""",145,"71""",Orthodox,"Oct 14, 1986",2.9,40,4.38,56,2.26,41,80,0.3
2,Askar Askarov, 13-0-1,"5' 6""",125,"67""",Orthodox,"Oct 09, 1992",3.37,55,2.65,56,2.75,28,64,0
3,Jessica Andrade, 21-9-0,"5' 1""",115,"62""",Orthodox,"Sep 25, 1991",6.15,50,5.2,52,2.97,55,66,0.4
4,Junior Albini, 14-6-0,"6' 3""",264,"74""",Orthodox,"Mar 15, 1991",3.98,51,6.08,52,1.54,37,100,0
5,Adlan Amagov, 14-2-1,"6' 2""",170,"76""",Orthodox,"Oct 30, 1986",3.29,47,0.82,78,5.84,56,100,0
6,Marcelo Aguiar, 2-3-1,"5' 10""",170,--,Orthodox,--,0,0,0,0,0,0,0,0
7,Blas Avena, 8-7-0 (1 NC),"6' 0""",170,"74""",Orthodox,"Jun 30, 1983",2.34,47,3.36,43,2.37,80,50,1.8
8,Karl Amoussou, 27-7-2,"5' 11""",185,--,Orthodox,"Nov 21, 1985",1.47,34,2.67,54,0,0,25,1
9,Thomas Almeida, 22-5-0,"5' 7""",145,"70""",Southpaw,"Jul 31, 1991",4.84,43,4.93,61,0.17,14,75,0
10,Brett Albee, 3-2-0,--,225,--,,--,0,0,0,0,0,0,0,0
11,Jimmy Ambriz, 17-21-1,"6' 2""",315,--,Southpaw,"Jan 26, 1970",0.83,29,3.76,40,3.13,57,100,0.8
12,Amir Aliakbari, 10-1-0,"6' 3""",250,--,,"Jun 10, 1984",0,0,0,0,0,0,0,0
13,Julia Avila, 8-2-0,"5' 7""",135,"68""",Orthodox,"May 11, 1988",3.1,41,2.9,54,0.49,50,60,0
14,Erik Apple, 10-3-0,"6' 0""",170,--,Orthodox,"Aug 26, 1977",0,0,0.54,81,0,0,0,8.1
15,Derek Anderson, 14-3-0 (1 NC),"6' 0""",155,--,,"Feb 02, 1990",3.97,37,3.08,61,0.34,14,60,0
16,Herdem Alacabek, 5-1-0,"6' 2""",205,"75""",Orthodox,"Jun 07, 1991",3.84,65,6.66,23,2.06,50,42,0
17,Ben Askren, 19-2-0 (1 NC),"5' 11""",170,"73""",Orthodox,"Jul 18, 1984",3.64,49,5.66,36,4.33,55,0,0.9
18,Kenneth Alexander, 7-6-0 (1 NC),"5' 9""",155,--,Orthodox,"Sep 25, 1977",0.88,19,2.2,66,4.71,26,0,0
19,Daniel Acacio, 30-18-0,"5' 8""",180,--,Orthodox,"Dec 27, 1977",3.52,36,2.85,62,0.33,20,81,0
20,Dylan Andrews, 18-7-0 (1 NC),"6' 1""",185,"74""",Switch,"Nov 15, 1979",2.21,50,2.72,46,2.83,50,57,0.4
21,Austin Arnett, 16-6-0,"6' 0""",145,"72""",Orthodox,"Oct 22, 1991",4.52,41,6.38,62,0.44,18,57,0.2
22,Shinya Aoki, 39-7-0 (1 NC),"5' 11""",154,--,Southpaw,"May 09, 1983",0.97,58,1.25,58,2.54,41,60,4
23,Magomed Ankalaev, 15-1-0,"6' 3""",205,"75""",Orthodox,"Jun 02, 1992",3.41,53,1.78,65,1.18,33,85,0
24,Razak Al-Hassan, 13-5-0,"6' 2""",205,--,Orthodox,"May 14, 1982",3.27,39,3.14,60,0.65,14,57,0
25,Ildemar Alcantara, 21-11-0,"6' 2""",185,"78""",Orthodox,"Nov 18, 1982",1.93,38,2.63,50,2,68,81,0.9
26,Amilcar Alves, 15-12-0,"6' 0""",170,--,Southpaw,"Aug 08, 1988",0.5,46,2.02,30,0,0,53,0
27,Bazigit Atajev, 17-1-0,"6' 1""",230,--,Orthodox,--,0.87,41,3.14,49,1,33,0,0
28,Christian Aguilera, 14-8-0,"5' 9""",170,"72""",Switch,"Nov 25, 1991",2.54,37,4.04,48,0,0,60,0
29,Aori Qileng, 18-7-0,"5' 7""",125,"69""",Orthodox,"Jun 25, 1993",7.73,44,12.6,46,3,75,100,0
30,Felipe Arantes, 18-10-1 (2 NC),"5' 8""",135,"73""",Orthodox,"Feb 09, 1988",2.37,45,2.66,64,0.93,47,41,0.7
31,Wes Albritton, 0-1-0,"5' 10""",188,--,Orthodox,--,0,0,0,0,0,0,0,0
32,Shamil Abdurakhimov, 20-5-0,"6' 3""",235,"76""",Orthodox,"Sep 02, 1981",2.45,44,2.45,58,1.23,24,47,0.2
33,Julius Anglickas, 5-1-0,"6' 3""",205,--,Orthodox,"Jul 23, 1991",4.62,78,1.86,50,4.47,50,60,1.1
34,Warlley Alves, 15-4-0,"5' 11""",170,"72""",Orthodox,"Jan 04, 1991",3.09,47,3.62,50,1.48,54,75,1
35,Luiz Azeredo, 15-10-0,"5' 9""",154,--,Orthodox,"Jun 10, 1976",2.16,39,2.76,57,1.07,50,45,0.3
36,Mauricio Alonso, 13-7-0 (1 NC),"6' 2""",170,--,,"Feb 27, 1980",5.74,34,1.91,67,0,0,0,0
37,Junior Assuncao, 16-6-0,"5' 9""",145,"72""",Orthodox,"Jun 24, 1981",3.31,62,2.06,44,2.43,24,66,0.7
38,Anthony Avila, 13-5-0,"5' 7""",145,--,,"Dec 29, 1988",0,0,0,0,0,0,0,0
39,JJ Aldrich, 9-4-0,"5' 5""",125,"67""",Southpaw,"Sep 29, 1992",3.76,41,4.55,61,0.8,40,57,0
40,Iuri Alcantara, 35-10-0 (1 NC),"5' 9""",135,"71""",Southpaw,"Aug 04, 1980",2.72,45,2.79,49,1.44,62,60,0.8
41,Ibo Aslan, 8-0-0,"6' 3""",205,--,,"Apr 23, 1996",0,0,0,0,0,0,0,0
42,Chad Anheliger, 10-5-0,"5' 6""",135,--,,"Dec 01, 1986",0,0,0,0,0,0,0,0
43,Javi Alanis, 0-4-0,"5' 6""",135,--,,--,0,0,0,0,0,0,0,0
44,Heili Alateng, 14-8-1,"5' 5""",135,"66""",Orthodox,"Dec 14, 1991",2.87,32,5.82,57,2.33,35,100,0
45,Klidson Abreu, 15-4-0 (1 NC),"6' 0""",205,"74""",Orthodox,"Dec 24, 1992",2.05,40,2.9,55,0.64,20,80,0
46,Josh Appelt, 15-7-0,"5' 10""",255,--,Southpaw,"Jun 19, 1983",1.35,40,11.5,32,0,0,33,0
47,Yoshihiro Akiyama, 14-6-0 (2 NC),"5' 10""",170,"75""",Orthodox,"Jul 29, 1975",3.1,41,3.62,57,2.29,67,92,1
48,Alen Amedovski, 8-2-0,"5' 10""",185,"74""",Orthodox,"Apr 06, 1988",0.52,28,3.14,37,0,0,0,0
49,Eddie Alvarez, 29-6-0 (1 NC),"5' 9""",155,"69""",Orthodox,"Jan 11, 1984",4.32,41,4.39,55,2.92,36,92,0.5
50,Luciano Azevedo, 17-9-1,"6' 3""",161,--,Orthodox,"Jun 25, 1981",0.76,45,1.97,27,2.28,11,0,0
51,Mike Altman, 1-4-0,"5' 10""",185,--,Orthodox,--,1.56,20,2.08,75,0,0,0,0
52,Abu Azaitar, 14-3-1,"5' 9""",185,"76""",Orthodox,"Mar 10, 1986",5.21,44,5.35,50,0.5,25,40,0
53,Igor Araujo, 25-9-0 (1 NC),"6' 1""",170,"77""",Orthodox,"Dec 06, 1980",1.52,42,2.86,49,0.86,15,22,0.6
54,Aleksandra Albu, 3-2-0,"5' 2""",115,"63""",Orthodox,"Jul 14, 1990",4.83,47,5.56,38,2.27,50,77,0.4
55,JJ Ambrose, 28-7-0 (2 NC),"5' 10""",170,--,Orthodox,--,3.16,69,6.32,33,0,0,50,0
56,Andre Amado, 6-4-1,"6' 0""",154,--,Orthodox,--,2.27,24,5.91,63,0,0,20,0
57,Romie Aram, 7-1-0,"5' 10""",170,--,Orthodox,"Dec 02, 1977",1.8,35,2.83,50,2.5,62,83,0
58,Daichi Abe, 6-2-0,"5' 11""",170,"71""",Orthodox,"Nov 27, 1991",3.8,33,4.49,56,0.33,50,0,0
59,Levi Avera, 18-15-0,"6' 1""",170,--,,"May 17, 1982",0,0,0,0,0,0,0,0
